word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation
haziran,1797,1419,0.007856,7,15,False,content_or_borderline,keep_for_now
yapacağiz,1793,1471,0.008144,7,13,False,content_or_borderline,keep_for_now
ödeme,1793,1242,0.006876,6,13,False,content_or_borderline,keep_for_now
toplu,1792,1045,0.005785,7,13,False,content_or_borderline,keep_for_now
falan,1789,1541,0.008531,7,14,False,content_or_borderline,keep_for_now
açlik,1785,1178,0.006522,6,14,False,content_or_borderline,keep_for_now
yetkisi,1784,1286,0.00712,7,12,False,content_or_borderline,keep_for_now
politikasi,1783,1265,0.007003,7,16,False,content_or_borderline,keep_for_now
değerlendirme,1783,1354,0.007496,7,12,False,content_or_borderline,keep_for_now
başladi,1783,1479,0.008188,7,14,False,content_or_borderline,keep_for_now
ahmet,1782,1425,0.007889,7,15,False,content_or_borderline,keep_for_now
konunun,1780,1552,0.008592,7,15,False,content_or_borderline,keep_for_now
stratejik,1780,1201,0.006649,7,14,False,content_or_borderline,keep_for_now
sorunlarin,1776,1419,0.007856,7,12,False,content_or_borderline,keep_for_now
biliyorum,1774,1518,0.008404,7,16,False,content_or_borderline,keep_for_now
halka,1773,1392,0.007706,7,14,False,content_or_borderline,keep_for_now
organize,1772,944,0.005226,7,12,False,content_or_borderline,keep_for_now
giderek,1771,1401,0.007756,7,14,False,content_or_borderline,keep_for_now
insanlik,1770,1330,0.007363,7,15,False,content_or_borderline,keep_for_now
olağanüstü,1769,1024,0.005669,7,13,False,content_or_borderline,keep_for_now
plani,1768,1134,0.006278,7,13,False,content_or_borderline,keep_for_now
terk,1767,1485,0.008221,7,14,False,content_or_borderline,keep_for_now
tamam,1766,1585,0.008775,7,15,False,content_or_borderline,keep_for_now
yaparak,1764,1620,0.008969,7,15,False,content_or_borderline,keep_for_now
ileri,1763,1415,0.007834,7,12,False,content_or_borderline,keep_for_now
milletvekilimiz,1761,1429,0.007911,7,15,False,content_or_borderline,keep_for_now
altyapi,1756,1322,0.007319,6,14,False,content_or_borderline,keep_for_now
aldi,1755,1496,0.008282,7,14,False,content_or_borderline,keep_for_now
bursa,1749,1022,0.005658,7,13,False,content_or_borderline,keep_for_now
sözü,1747,1519,0.00841,7,15,False,content_or_borderline,keep_for_now
iklim,1747,775,0.004291,6,14,False,content_or_borderline,keep_for_now
eylem,1745,1227,0.006793,7,13,False,content_or_borderline,keep_for_now
ön,1744,1474,0.00816,7,13,False,content_or_borderline,keep_for_now
millete,1742,1449,0.008022,7,12,False,content_or_borderline,keep_for_now
kendisini,1741,1548,0.00857,7,14,False,content_or_borderline,keep_for_now
ev,1741,1234,0.006832,7,12,False,content_or_borderline,keep_for_now
