word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation,priority
verilen,5181,4080,0.022588,7,17,False,high_frequency_generic,review_first,2
günü,5173,3622,0.020052,7,17,False,high_frequency_generic,review_first,2
yazik,5160,3385,0.01874,7,15,False,high_frequency_generic,review_first,2
saygilar,5157,5074,0.028091,7,15,False,high_frequency_generic,review_first,2
yakin,5149,4113,0.02277,7,17,False,high_frequency_generic,review_first,2
orman,5130,1964,0.010873,7,12,False,high_frequency_generic,review_first,2
yatirim,5123,2787,0.015429,7,13,False,high_frequency_generic,review_first,2
olmaz,5114,4075,0.02256,7,16,False,high_frequency_generic,review_first,2
biri,5103,3940,0.021813,7,16,False,high_frequency_generic,review_first,2
dünyada,5103,3713,0.020556,7,15,False,high_frequency_generic,review_first,2
itibariyla,5094,3499,0.019371,7,15,False,high_frequency_generic,review_first,2
insanlarin,5085,3810,0.021093,7,15,False,high_frequency_generic,review_first,2
toplam,5079,3204,0.017738,7,15,False,high_frequency_generic,review_first,2
tarihinde,5072,3623,0.020058,7,15,False,high_frequency_generic,review_first,2
kadin,5059,2267,0.012551,7,13,False,high_frequency_generic,review_first,2
muhalefet,5052,3694,0.020451,7,15,False,high_frequency_generic,review_first,2
öncelikle,5022,4229,0.023413,7,16,False,high_frequency_generic,review_first,2
güzel,5000,3841,0.021265,7,16,False,high_frequency_generic,review_first,2
deki,4990,3876,0.021458,7,17,False,high_frequency_generic,review_first,2
komisyon,4979,3029,0.016769,7,14,False,high_frequency_generic,review_first,2
birtakim,4973,3370,0.018657,7,16,False,high_frequency_generic,review_first,2
yildir,4951,3779,0.020921,7,17,False,high_frequency_generic,review_first,2
anlamda,4948,3530,0.019543,7,16,False,high_frequency_generic,review_first,2
bana,4947,4135,0.022892,7,16,False,high_frequency_generic,review_first,2
alti,4945,3471,0.019216,7,17,False,high_frequency_generic,review_first,2
nedir,4937,3758,0.020805,7,16,False,high_frequency_generic,review_first,2
kredi,4936,2225,0.012318,7,17,False,high_frequency_generic,review_first,2
buraya,4916,3977,0.022018,7,15,False,high_frequency_generic,review_first,2
sira,4894,4065,0.022505,7,16,False,high_frequency_generic,review_first,2
meclisin,4891,3673,0.020334,7,17,False,high_frequency_generic,review_first,2
olmuştur,4883,3644,0.020174,7,15,False,high_frequency_generic,review_first,2
yapmiş,4869,3808,0.021082,7,14,False,high_frequency_generic,review_first,2
fakat,4864,3638,0.020141,7,17,False,high_frequency_generic,review_first,2
halkin,4854,3316,0.018358,7,14,False,high_frequency_generic,review_first,2
süre,4837,3821,0.021154,7,15,False,high_frequency_generic,review_first,2
sorunu,4834,3272,0.018114,7,17,False,high_frequency_generic,review_first,2
olabilir,4832,3620,0.020041,7,16,False,high_frequency_generic,review_first,2
ortak,4831,3313,0.018341,7,16,False,high_frequency_generic,review_first,2
ana,4830,3358,0.018591,7,16,False,high_frequency_generic,review_first,2
etti,4811,3956,0.021901,7,16,False,high_frequency_generic,review_first,2
oy,4786,3232,0.017893,7,15,False,high_frequency_generic,review_first,2
mhp,4779,4167,0.023069,7,15,False,high_frequency_generic,review_first,2
lütfen,4775,4012,0.022211,7,15,False,high_frequency_generic,review_first,2
li,4767,3485,0.019294,7,16,False,high_frequency_generic,review_first,2
