date,open,high,low,close,adjclose,volume,symbol,series,forex_buying,forex_selling,source
2004-02-17,1.3170834999999999,1.320252,1.313915,1.3170834999999999,1.3170834999999999,,TCMB_USDTRY,usd_try,1.313915,1.320252,TCMB daily exchange-rate XML archive
2004-02-18,1.3191005,1.322274,1.315927,1.3191005,1.3191005,,TCMB_USDTRY,usd_try,1.315927,1.322274,TCMB daily exchange-rate XML archive
2004-02-19,1.3240675,1.327253,1.320882,1.3240675,1.3240675,,TCMB_USDTRY,usd_try,1.320882,1.327253,TCMB daily exchange-rate XML archive
2004-02-20,1.3260895000000001,1.32928,1.322899,1.3260895000000001,1.3260895000000001,,TCMB_USDTRY,usd_try,1.322899,1.32928,TCMB daily exchange-rate XML archive
2004-02-23,1.3267980000000001,1.32999,1.323606,1.3267980000000001,1.3267980000000001,,TCMB_USDTRY,usd_try,1.323606,1.32999,TCMB daily exchange-rate XML archive
2004-02-24,1.322724,1.325906,1.319542,1.322724,1.322724,,TCMB_USDTRY,usd_try,1.319542,1.325906,TCMB daily exchange-rate XML archive
2004-02-25,1.3178945,1.321065,1.314724,1.3178945,1.3178945,,TCMB_USDTRY,usd_try,1.314724,1.321065,TCMB daily exchange-rate XML archive
2004-02-26,1.3271045,1.330297,1.323912,1.3271045,1.3271045,,TCMB_USDTRY,usd_try,1.323912,1.330297,TCMB daily exchange-rate XML archive
2004-02-27,1.3244925,1.327679,1.321306,1.3244925,1.3244925,,TCMB_USDTRY,usd_try,1.321306,1.327679,TCMB daily exchange-rate XML archive
2004-03-01,1.317996,1.321167,1.314825,1.317996,1.317996,,TCMB_USDTRY,usd_try,1.314825,1.321167,TCMB daily exchange-rate XML archive
2004-03-02,1.3174265,1.320596,1.314257,1.3174265,1.3174265,,TCMB_USDTRY,usd_try,1.314257,1.320596,TCMB daily exchange-rate XML archive
2004-03-03,1.3295705,1.332769,1.326372,1.3295705,1.3295705,,TCMB_USDTRY,usd_try,1.326372,1.332769,TCMB daily exchange-rate XML archive
2004-03-04,1.3261664999999998,1.329357,1.322976,1.3261664999999998,1.3261664999999998,,TCMB_USDTRY,usd_try,1.322976,1.329357,TCMB daily exchange-rate XML archive
2004-03-05,1.32641,1.329601,1.323219,1.32641,1.32641,,TCMB_USDTRY,usd_try,1.323219,1.329601,TCMB daily exchange-rate XML archive
2004-03-08,1.3176100000000002,1.32078,1.31444,1.3176100000000002,1.3176100000000002,,TCMB_USDTRY,usd_try,1.31444,1.32078,TCMB daily exchange-rate XML archive
2004-03-09,1.314378,1.31754,1.311216,1.314378,1.314378,,TCMB_USDTRY,usd_try,1.311216,1.31754,TCMB daily exchange-rate XML archive
2004-03-10,1.3158075,1.318973,1.312642,1.3158075,1.3158075,,TCMB_USDTRY,usd_try,1.312642,1.318973,TCMB daily exchange-rate XML archive
2004-03-11,1.3210449999999998,1.324223,1.317867,1.3210449999999998,1.3210449999999998,,TCMB_USDTRY,usd_try,1.317867,1.324223,TCMB daily exchange-rate XML archive
2004-03-12,1.319004,1.322177,1.315831,1.319004,1.319004,,TCMB_USDTRY,usd_try,1.315831,1.322177,TCMB daily exchange-rate XML archive
2004-03-15,1.3143470000000002,1.317509,1.311185,1.3143470000000002,1.3143470000000002,,TCMB_USDTRY,usd_try,1.311185,1.317509,TCMB daily exchange-rate XML archive
2004-03-16,1.314407,1.317569,1.311245,1.314407,1.314407,,TCMB_USDTRY,usd_try,1.311245,1.317569,TCMB daily exchange-rate XML archive
2004-03-17,1.3190395000000001,1.322213,1.315866,1.3190395000000001,1.3190395000000001,,TCMB_USDTRY,usd_try,1.315866,1.322213,TCMB daily exchange-rate XML archive
2004-03-18,1.3244865,1.327673,1.3213,1.3244865,1.3244865,,TCMB_USDTRY,usd_try,1.3213,1.327673,TCMB daily exchange-rate XML archive
2004-03-19,1.3153705,1.318535,1.312206,1.3153705,1.3153705,,TCMB_USDTRY,usd_try,1.312206,1.318535,TCMB daily exchange-rate XML archive
2004-03-22,1.3161565,1.319323,1.31299,1.3161565,1.3161565,,TCMB_USDTRY,usd_try,1.31299,1.319323,TCMB daily exchange-rate XML archive
2004-03-23,1.316404,1.319571,1.313237,1.316404,1.316404,,TCMB_USDTRY,usd_try,1.313237,1.319571,TCMB daily exchange-rate XML archive
2004-03-24,1.315628,1.318793,1.312463,1.315628,1.315628,,TCMB_USDTRY,usd_try,1.312463,1.318793,TCMB daily exchange-rate XML archive
